Column Name,Data Type
year,int64
country_id_o,object
country_id_d,object
iso3_o,object
iso3_d,object
iso3num_o,float64
iso3num_d,float64
country_exists_o,int64
country_exists_d,int64
gmt_offset_2020_o,float64
gmt_offset_2020_d,float64
distw_harmonic,float64
distw_arithmetic,float64
distw_harmonic_jh,float64
distw_arithmetic_jh,float64
dist,float64
main_city_source_o,object
main_city_source_d,object
distcap,float64
contig,float64
diplo_disagreement,float64
scaled_sci_2021,float64
comlang_off,float64
comlang_ethno,float64
comcol,float64
col45,float64
legal_old_o,float64
legal_old_d,float64
legal_new_o,float64
legal_new_d,float64
comleg_pretrans,float64
comleg_posttrans,float64
transition_legalchange,float64
comrelig,float64
heg_o,float64
heg_d,float64
col_dep_ever,float64
col_dep,float64
col_dep_end_year,float64
col_dep_end_conflict,float64
empire,object
sibling_ever,float64
sibling,float64
sever_year,float64
sib_conflict,float64
pop_o,float64
pop_d,float64
gdp_o,float64
gdp_d,float64
gdpcap_o,float64
gdpcap_d,float64
pop_source_o,float64
pop_source_d,float64
gdp_source_o,float64
gdp_source_d,float64
gdp_ppp_o,float64
gdp_ppp_d,float64
gdpcap_ppp_o,float64
gdpcap_ppp_d,float64
pop_pwt_o,float64
pop_pwt_d,float64
gdp_ppp_pwt_o,float64
gdp_ppp_pwt_d,float64
gatt_o,float64
gatt_d,float64
wto_o,float64
wto_d,float64
eu_o,float64
eu_d,float64
fta_wto,float64
fta_wto_raw,float64
rta_coverage,float64
rta_type,float64
entry_cost_o,float64
entry_cost_d,float64
entry_proc_o,float64
entry_proc_d,float64
entry_time_o,float64
entry_time_d,float64
entry_tp_o,float64
entry_tp_d,float64
tradeflow_comtrade_o,float64
tradeflow_comtrade_d,float64
tradeflow_baci,float64
manuf_tradeflow_baci,float64
tradeflow_imf_o,float64
tradeflow_imf_d,float64
